POSITION,GROUP,LEVEL,FIELD,TIME,CONTRACTOR,CONTRACTOR TYPE,OWNER,LABOR TYPE,UNION NUMBER,WAGE TYPE,BUILDING TYPE,CITY,STATE,DATE,TYPE,BILL RATE,BASE,FICA,FUTA,SUTA,WORK COMP,LIABILITY INS,TAX/INS,FRINGE BENEFITS,PER DIEM,SMALL TOOLS,OT,G&A (OH),PROFIT
ACCOUNTANT,,,,REG,CUPERTINO ELECTRIC-INC.,SUB,META,GC PM,,BURDENED,DATA CENTER,KUNA,ID,2022-01-01,SUPERVISION,,83.59,,,,,,,,,,,,
ACCOUNTANT,,,,REG,CUPERTINO ELECTRIC-INC.,SUB,META,GC PM,,BURDENED,DATA CENTER,LOS LUNAS,NM,2021-01-01,SUPERVISION,,92.72,,,,,,,,,,,,
ACCOUNTANT,,,,REG,CUPERTINO ELECTRIC-INC.,SUB,META,GC PM,,BURDENED,DATA CENTER,,IA,2021-01-01,SUPERVISION,,102.78,,,,,,,,,,,,
ACCOUNTANT,,,,REG,CUPERTINO ELECTRIC-INC.,SUB,META,GC PM,,BURDENED,DATA CENTER,,UT,2020-01-01,SUPERVISION,,83.29,,,,,,,,,,,,
ACCOUNTANT,,,,REG,CUPERTINO ELECTRIC-INC.,SUB,META,GC PM,,BURDENED,DATA CENTER,,OH,2020-01-01,SUPERVISION,,76.41,,,,,,,,,,,,
ACCOUNTANT,,,,REG,CPP,GC/CM,META,GC PM,,BURDENED,,,GA,2021-01-01,SUPERVISION,,96.6,,,,,,,,,,,,
ACCOUNTANT,,,,REG,CPP,GC/CM,META,GC PM,,BURDENED,,,GA,2020-01-01,SUPERVISION,,92.62,,,,,,,,,,,,
ACCOUNTANT,,,,REG,CST,GC/CM,META,GC PM,,BURDENED,,,IL,2020-01-01,SUPERVISION,,150.0,,,,,,,,,,,,
ACCOUNTANT,,,,REG,FAITH,GC/CM,META,GC PM,,BURDENED,,,AL,2021-01-01,SUPERVISION,,96.54,,,,,,,,,,,,
ACCOUNTANT,,,,REG,KND,GC/CM,META,GC PM,,BURDENED,DATA CENTER,,,2022-01-01,SUPERVISION,,149.0,,,,,,,,,,,,
ACCOUNTANT,,,,REG,KND,GC/CM,META,GC PM,,BURDENED,DATA CENTER,,,2023-01-01,SUPERVISION,,156.45000000000002,,,,,,,,,,,,
ACCOUNTANT,,,,REG,MILLER-LIGHTHOUSE,SUB,FACEBOOK,GC PM,,BURDENED,DATA CENTER,RICHMOND,VA,2020-01-01,SUPERVISION,,103.76,,,,,,,,,,,,
ACCOUNTANT,,,,REG,PCI,GC/CM,META,GC PM,,BURDENED,DATA CENTER,,,2023-01-01,SUPERVISION,,155.91976358284631,,,,,,,,,,,,
ACCOUNTANT,,,,REG,PCI,GC/CM,META,GC PM,,BURDENED,DATA CENTER,,,2021-01-01,SUPERVISION,,142.0,,,,,,,,,,,,
ACCOUNTANT,,,,REG,ROSENDIN ELECTRIC-INC.,SUB,META,GC PM,,BURDENED,,PORTLAND,OR,2021-01-01,SUPERVISION,,90.0,,,,,,,,,,,,
ACCOUNTANT,,,,REG,TSG,GC/CM,META,GC PM,,BURDENED,,,AL,2021-01-01,SUPERVISION,,93.7,,,,,,,,,,,,
ACCOUNTANT,,ASSISTANT,,REG,TURNER CONSTRUCTION COMPANY,GC/CM,SIDECAT LLC,GC PM,,BURDENED,DATA CENTER,NEW ALBANY,OH,2018-05-10,SUPERVISION,,,,,,,,,,,,,,
